Iteration	Posterior	Likelihood	Prior	branch_rates	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	freq[1]	freq[2]	freq[3]	freq[4]	root_age	speciation_rate
3750	-13952.85	-13855.54	-97.31713	0.07458102	0.162781	0.181742	0.164607	0.127159	0.222388	0.141324	0.001093385	0.247325	0.244439	0.244095	0.264141	33.91702	0.03630905
3800	-13957.63	-13860.83	-96.79386	0.07458102	0.148486	0.117615	0.228265	0.202995	0.144464	0.158174	0.0005311022	0.241927	0.246675	0.242725	0.268674	32.2922	0.04459653
3850	-13958.71	-13856.24	-102.4759	0.07458102	0.114876	0.130425	0.22661	0.180451	0.137867	0.209771	0.002944103	0.248199	0.252822	0.249017	0.249962	36.34364	0.04977991
3900	-13956.31	-13854.77	-101.5412	0.07458102	0.1567	0.121965	0.265749	0.190898	0.126274	0.138415	0.01241786	0.251944	0.241548	0.252775	0.253733	34.2602	0.05135602
3950	-13948.14	-13852.77	-95.36982	0.07458102	0.124078	0.14494	0.219633	0.159999	0.162413	0.188937	0.003277116	0.245041	0.254383	0.246401	0.254174	32.86706	0.04216009
4000	-13954.78	-13855.06	-99.71965	0.07458102	0.191616	0.12321	0.173696	0.130326	0.176543	0.204609	0.009945499	0.246813	0.248992	0.248183	0.256012	34.37455	0.05088737
4050	-13950.24	-13854.15	-96.08478	0.07458102	0.150692	0.122518	0.221679	0.171328	0.152438	0.181346	0.0005115402	0.249582	0.240565	0.250967	0.258885	33.13206	0.05262056
4100	-13957.4	-13855.06	-102.3395	0.07458102	0.21243	0.11479	0.238708	0.145646	0.134484	0.153941	0.002372731	0.25481	0.245604	0.244105	0.255482	37.71056	0.04512653
4150	-13953.68	-13852.3	-101.3851	0.07458102	0.179749	0.145464	0.153147	0.146513	0.190434	0.184694	0.02363006	0.250924	0.241858	0.256102	0.251116	34.27409	0.05019387
4200	-13952.25	-13852.71	-99.54385	0.07458102	0.151645	0.180625	0.203139	0.159838	0.120832	0.18392	0.003715574	0.250081	0.254303	0.246809	0.248807	35.48467	0.05497223
4250	-13953.88	-13851.78	-102.1031	0.07458102	0.14291	0.16821	0.237409	0.128324	0.140977	0.18217	0.01847495	0.246816	0.257298	0.243586	0.2523	36.02435	0.04398466
4300	-13957.7	-13853.78	-103.9172	0.07458102	0.21098	0.0876928	0.174812	0.188954	0.184992	0.152569	0.01184111	0.243223	0.253553	0.248672	0.254552	35.393	0.02420436
4350	-13956.76	-13857.2	-99.56391	0.07458102	0.158755	0.131391	0.25187	0.191391	0.15801	0.108584	0.005472602	0.240805	0.251033	0.25614	0.252022	33.8623	0.03997191
4400	-13960.25	-13858.32	-101.923	0.07458102	0.138224	0.200106	0.264199	0.156988	0.149697	0.0907866	0.007195214	0.245816	0.256256	0.240663	0.257265	35.31209	0.02889876
4450	-13965.17	-13859.79	-105.3743	0.07458102	0.107606	0.181946	0.230979	0.169675	0.183743	0.126051	0.01236487	0.242104	0.252369	0.254435	0.251093	36.6558	0.05616238
4500	-13956.18	-13855.73	-100.4554	0.07458102	0.215504	0.17414	0.1972	0.135623	0.134149	0.143385	0.006457072	0.246243	0.247197	0.24922	0.25734	34.1024	0.0539495
4550	-13953.24	-13851.73	-101.5093	0.07458102	0.125011	0.127523	0.257624	0.170952	0.189834	0.129057	0.004480067	0.2459	0.246852	0.248873	0.258376	37.72154	0.04355044
4600	-13950.62	-13853.57	-97.05016	0.07458102	0.190038	0.142062	0.191481	0.153042	0.189832	0.133545	0.001008852	0.2459	0.246852	0.248873	0.258376	31.65835	0.05437869
4650	-13951.02	-13851.91	-99.11002	0.07458102	0.171217	0.123259	0.182031	0.196866	0.147607	0.179019	0.004639813	0.245247	0.241143	0.251994	0.261616	33.9509	0.03367498
4700	-13954.27	-13855.37	-98.90494	0.07458102	0.154856	0.149169	0.176638	0.182691	0.0947563	0.24189	0.002526763	0.253329	0.243648	0.252157	0.250866	34.58071	0.0323238
4750	-13956.04	-13855.6	-100.4414	0.07458102	0.118505	0.183847	0.151811	0.220914	0.161625	0.163297	0.0006113998	0.245263	0.244052	0.253952	0.256732	35.45328	0.02453627
4800	-13954.22	-13853.57	-100.6522	0.07458102	0.174141	0.139199	0.194063	0.200926	0.13836	0.153311	0.02954006	0.249458	0.248226	0.248277	0.254039	33.33783	0.04819117
4850	-13958.19	-13857.92	-100.2751	0.07458102	0.213011	0.132855	0.244385	0.148538	0.0990987	0.162112	0.009373852	0.249301	0.24807	0.250717	0.251912	35.02211	0.05328235
4900	-13960.53	-13855.92	-104.6111	0.07458102	0.308278	0.0562577	0.276865	0.162676	0.0310652	0.164858	0.003898538	0.246827	0.245609	0.255626	0.251938	39.26641	0.04421811
4950	-13951.13	-13850.72	-100.4157	0.07458102	0.181224	0.191759	0.123725	0.120717	0.168291	0.214284	0.003049007	0.251619	0.250377	0.248035	0.249968	36.83633	0.03406189
5000	-13959.16	-13856.1	-103.0665	0.07458102	0.200372	0.17488	0.125283	0.0933188	0.160042	0.246104	0.008060269	0.248706	0.243108	0.248655	0.25953	36.10177	0.04233882
5050	-13968	-13856.15	-111.8489	0.07458102	0.202146	0.217227	0.104229	0.0460098	0.168031	0.262358	0.007461292	0.243024	0.257564	0.24219	0.257223	42.80566	0.03476689
5100	-13969.45	-13865.53	-103.9286	0.07458102	0.142645	0.178267	0.235785	0.156125	0.140005	0.147173	0.006163518	0.244421	0.237969	0.258909	0.258701	38.67987	0.02571812
5150	-13958.35	-13862	-96.34844	0.07458102	0.145631	0.142894	0.165531	0.158253	0.23386	0.153832	0.004931199	0.248175	0.243095	0.244456	0.264274	32.85781	0.04972905
