Iteration	Posterior	Likelihood	Prior	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_sd	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	freq[1]	freq[2]	freq[3]	freq[4]	ln_branch_rates_mean	root_age	speciation_rate
1250	-20002.97	-20269.14	266.1719	0.0781768	0.0782132	0.0782036	0.0782075	0.0782031	0.0782258	0.0782225	0.0781874	0.0782343	0.0781698	0.0781976	0.0782016	0.0781862	0.0782167	0.0782356	0.0782182	0.0781874	0.0782343	0.0781942	0.0781936	0.0782445	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0781952	0.0782263	0.0781782	0.078228	0.0781921	0.0781863	0.0781782	0.0782541	0.0782063	0.0782055	0.07820549	0.0002284677	0.174176	0.16493	0.158723	0.154509	0.176162	0.171501	0.0202253	0.241205	0.25009	0.252766	0.255938	-2.548415	9.484079	0.1860092
1300	-20003.63	-20269.3	265.6745	0.0781768	0.0782132	0.0782036	0.0782075	0.0782031	0.0782258	0.0782225	0.0781874	0.0782343	0.0781698	0.0781976	0.0782016	0.0781862	0.0782167	0.0782356	0.0782182	0.0781874	0.0782343	0.0781942	0.0781936	0.0782445	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0782285	0.0782263	0.0781782	0.078228	0.0781921	0.0781863	0.0781782	0.0782541	0.0782063	0.0782055	0.07820549	0.000264199	0.176309	0.159952	0.167434	0.147615	0.165753	0.182936	0.03962517	0.240098	0.248943	0.267411	0.243549	-2.548415	9.339532	0.1734516
1350	-20016.7	-20282.96	266.2603	0.0781768	0.0782132	0.0782036	0.0782075	0.0782031	0.0782258	0.0782225	0.0781874	0.0782343	0.0781698	0.0781976	0.0782016	0.0781862	0.0782167	0.0781919	0.0782182	0.0781874	0.0782343	0.0781942	0.0781936	0.0782445	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0782285	0.0782263	0.0781782	0.078228	0.0781921	0.0781863	0.0781782	0.0782541	0.0782063	0.0782055	0.07820549	0.0002400741	0.176087	0.152201	0.18571	0.148372	0.160496	0.177134	0.01910804	0.242474	0.245943	0.267736	0.243846	-2.548415	8.715692	0.1812616
1400	-19997.6	-20264.65	267.0506	0.0781768	0.0782132	0.0782036	0.0782075	0.0782031	0.0782258	0.0782225	0.0781874	0.0782343	0.0781698	0.0781976	0.0782016	0.0781862	0.0782167	0.0781919	0.0782182	0.0781874	0.0782343	0.0781942	0.0781936	0.0782445	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0782285	0.0782024	0.0781782	0.078228	0.0781921	0.0781863	0.0781782	0.0782541	0.0782063	0.0782055	0.07820549	0.0002858234	0.178468	0.157671	0.170097	0.150378	0.163857	0.179529	0.0224365	0.247128	0.241858	0.259947	0.251067	-2.548415	9.445662	0.1474035
1450	-19996.38	-20262.37	265.9936	0.0781768	0.0782132	0.0782036	0.0782075	0.078232	0.0782258	0.0782225	0.0781874	0.0782343	0.0781698	0.0781976	0.0782016	0.0781862	0.0782167	0.0781919	0.0782182	0.0781874	0.0782343	0.0781942	0.0781936	0.0782445	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0782285	0.0782024	0.0781782	0.078228	0.0781921	0.0781863	0.0781782	0.0781581	0.0782063	0.0782055	0.07820549	0.0002314113	0.183863	0.159715	0.158951	0.161026	0.170947	0.165498	0.03354117	0.248894	0.246315	0.254412	0.250379	-2.548415	9.315396	0.1645978
1500	-20005.99	-20271.67	265.6744	0.0781768	0.0782132	0.0782036	0.0782075	0.078232	0.0782258	0.0782225	0.0781874	0.0782343	0.0781698	0.0781976	0.0782016	0.0781862	0.0782167	0.0781919	0.0782182	0.0782224	0.0782343	0.0781942	0.0781936	0.0782445	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0782285	0.0782024	0.0781782	0.078228	0.0781921	0.0781863	0.0781782	0.0781581	0.0782063	0.0782055	0.07820549	0.0003385218	0.166297	0.160356	0.157512	0.162453	0.167696	0.185686	0.02013882	0.261682	0.242281	0.246558	0.24948	-2.548415	9.541794	0.1804235
1550	-19997.52	-20262.3	264.7742	0.0781768	0.0782011	0.0782036	0.0782075	0.078232	0.0782258	0.0782225	0.0781874	0.078232	0.0781698	0.0781976	0.0782016	0.0782334	0.0782167	0.0781919	0.0782182	0.0782224	0.0782343	0.0781942	0.0781936	0.0781889	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0782285	0.0782024	0.0781782	0.078228	0.0781921	0.0781863	0.0781782	0.0781581	0.0782063	0.0782055	0.07820549	0.0002845934	0.167789	0.166998	0.167586	0.163104	0.16677	0.167753	0.07056778	0.252361	0.249366	0.245021	0.253252	-2.548415	9.02251	0.2693708
1600	-20002.5	-20272.6	270.1019	0.0781768	0.0782011	0.0782036	0.0782075	0.078232	0.0782258	0.0782225	0.0781874	0.078232	0.0781698	0.0781976	0.0782016	0.0782334	0.0782167	0.0781919	0.0782182	0.0782224	0.0782343	0.0781942	0.0781936	0.0781889	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0782285	0.0782024	0.0781782	0.078228	0.0781921	0.0781863	0.0781782	0.0782332	0.0782063	0.0782055	0.07820549	0.000252196	0.171704	0.165188	0.158341	0.161336	0.168205	0.175226	0.01691642	0.254945	0.244868	0.251503	0.248684	-2.548415	9.591304	0.2197667
1650	-19998.73	-20268.58	269.8532	0.0781768	0.0782011	0.0782036	0.0782075	0.078232	0.0782258	0.0782225	0.0781874	0.078232	0.0781698	0.0782067	0.0782016	0.0782334	0.0782167	0.0782127	0.0782182	0.0782224	0.0782343	0.0782433	0.0781936	0.0781889	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0782285	0.0782024	0.0781782	0.0781919	0.0781921	0.0781934	0.0782228	0.0782332	0.0782063	0.0782055	0.07820549	0.0002291433	0.173212	0.166639	0.164717	0.148985	0.169682	0.176765	0.02940366	0.252318	0.243668	0.252721	0.251293	-2.548415	9.280022	0.1730346
1700	-19993.49	-20265.38	271.8938	0.0781768	0.0782011	0.0782036	0.0782075	0.078232	0.0782258	0.0782225	0.0781874	0.078232	0.0781698	0.0782067	0.0782016	0.0782334	0.0782167	0.0782127	0.0782182	0.0782224	0.0781981	0.0782433	0.0781936	0.0781889	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0782285	0.0782024	0.0781782	0.0781919	0.0781921	0.0781934	0.0782228	0.0782332	0.0782063	0.0782055	0.07820549	0.0002295028	0.172678	0.15673	0.158193	0.173983	0.167554	0.170862	0.009739003	0.251842	0.241659	0.253262	0.253237	-2.548415	9.511787	0.2282521
